NPGOverall,NPGPumped,NPGThermalTotal,NPGThermalCoal,NPGThermalFuel,NPGThermalGas,NPGNuclear,NPGRenewableTotal,NPGRenewableConventionalHydropower,NPGRenewableGeothermal,NPGRenewableSolar,NPGRenewableWind,NPGRenewableBiomass,NPGRenewableWaste,TPGOverall,TPGPumped,TPGThermalTotal,TPGThermalCoal,TPGThermalFuel,TPGThermalGas,TPGNuclear,TPGRenewableTotal,TPGRenewableConventionalHydropower,TPGRenewableGeothermal,TPGRenewableSolar,TPGRenewableWind,PPGOverall,PPGThermalTotal,PPGThermalCoal,PPGThermalGas,PPGRenewableTotal,PPGRenewableConventionalHydropower,PPGRenewableGeothermal,PPGRenewableSolar,PPGRenewableWind,SPGOverall,SPGThermalTotal,SPGThermalCoal,SPGThermalFuel,SPGThermalGas,SPGRenewableTotal,SPGRenewableConventionalHydropower,SPGRenewableGeothermal,SPGRenewableSolar,SPGRenewableWind,SPGRenewableBiomass,SPGRenewableWaste,date,year,month
21579.647673,248.01,17813.597959,7583.558559,316.850298,9913.189102,1464.92594,2053.113774,203.526515,2.459327,856.577703,645.330308,23.980547,321.239374,13883.144072,248.01,11811.85186,3927.23642,279.115957,7605.499483,1464.92594,358.356272,198.183698,0.472103,30.392224,129.308247,4223.257971,3369.886908,1181.7349,2188.152008,853.371063,4.862036,1.137659,331.359903,516.011465,3473.24563,2631.859191,2474.587239,37.734341,119.537611,841.386439,0.480781,0.849565,494.825576,0.010596,23.980547,321.239374,2024-01-01,2024,1
19601.347997,245.596,15602.696057,7333.69891,283.428576,7985.568571,1370.7726,2382.28334,261.61012,2.323861,1001.499667,801.599298,17.741786,297.508609,12309.872288,245.596,10314.631882,3714.211724,237.262486,6363.157672,1370.7726,378.871806,247.311297,0.463478,32.289386,98.807645,4119.994599,3068.96314,1546.598308,1522.364832,1051.031459,13.838092,1.071622,333.423896,702.69785,3171.48111,2219.101035,2072.888878,46.16609,100.046067,952.380075,0.460731,0.788761,635.786385,0.093803,17.741786,297.508609,2024-02-01,2024,2
22534.10726,249.973,18264.585785,9016.981478,336.310833,8911.293474,1463.85462,2555.693855,254.504354,2.368614,1157.66617,818.744973,22.705078,299.704666,13790.992627,249.973,11708.870478,4695.197674,273.542474,6740.13033,1463.85462,368.294529,242.202929,0.576981,33.658438,91.856181,5229.022453,4110.601851,2051.717771,2058.88408,1118.420602,12.048614,1.036871,378.456871,726.878246,3514.09218,2445.113456,2270.066033,62.768359,112.279064,1068.978724,0.252811,0.754762,745.550861,0.010546,22.705078,299.704666,2024-03-01,2024,3
23246.010933,255.403,19316.615085,9443.747721,406.161949,9466.705415,1393.1228,2280.870048,212.635672,2.195439,1199.92656,595.111247,11.645966,259.355164,15319.796828,255.403,13389.098576,5917.951511,344.013351,7127.133714,1393.1228,282.172452,203.482601,0.494312,32.768964,45.426575,4524.724017,3572.221426,1355.352424,2216.869002,952.502591,8.976614,0.933253,394.470388,548.122336,3401.490088,2355.295083,2170.443786,62.148598,122.702699,1046.195005,0.176457,0.767874,772.687208,1.562336,11.645966,259.355164,2024-04-01,2024,4
24770.516627,254.382,20382.54681,10515.340481,279.668434,9587.537895,1454.90294,2678.684877,247.130625,2.257367,1233.956203,878.894103,14.882134,301.564445,15577.860022,254.382,13536.945991,6080.407119,217.219222,7239.31965,1454.90294,331.629091,234.684608,0.376971,34.071333,62.496179,5137.232617,3904.159542,1705.336631,2198.822911,1233.073075,11.72721,0.949366,404.234732,816.161767,4055.423988,2941.441277,2729.596731,62.449212,149.395334,1113.982711,0.718807,0.93103,795.650138,0.236157,14.882134,301.564445,2024-05-01,2024,5
25815.942269,247.228,21320.331528,10480.965848,330.105258,10509.260422,1389.79161,2858.591131,426.426613,1.828395,1563.910858,548.893167,19.119596,298.412502,16358.456422,247.228,14220.397282,6156.385542,262.935155,7801.076585,1389.79161,501.03953,413.125998,0.47928,37.236816,50.197436,5161.132795,4235.609987,1671.178555,2564.431432,925.522808,13.025538,0.471986,413.363834,498.66145,4296.353052,2864.324259,2653.401751,67.170103,143.752405,1432.028793,0.275077,0.877129,1113.310208,0.034281,19.119596,298.412502,2024-06-01,2024,6
27703.897063,258.826228,23418.990364,11362.990485,464.976293,11591.023586,1198.977,2827.103471,469.631121,1.938981,1573.570353,438.559039,21.284201,322.119776,17481.696351,258.826228,15492.915707,6661.304098,405.652473,8425.959136,1198.977,530.977416,456.007069,0.326728,42.808827,31.834792,5841.539489,4966.076023,1940.719415,3025.356608,875.463466,13.3644,0.86004,454.627238,406.611788,4380.661223,2959.998634,2760.966972,59.32382,139.707842,1420.662589,0.259652,0.752213,1076.134288,0.112459,21.284201,322.119776,2024-07-01,2024,7
27353.50707,277.178,23366.228056,11117.658404,389.10163,11859.468022,728.12389,2981.977124,642.453932,2.170359,1674.178852,326.615675,21.308255,315.250051,17150.19774,277.178,15455.965713,6443.268136,345.156283,8667.541294,728.12389,688.930137,624.861029,0.366025,41.262421,22.440662,5803.129069,5033.710138,1991.28327,3042.426868,769.418931,17.409464,1.016073,446.887336,304.106058,4400.180261,2876.552205,2683.106998,43.945347,149.49986,1523.628056,0.183439,0.788261,1186.029095,0.068955,21.308255,315.250051,2024-08-01,2024,8
26708.960667,273.463,22612.710715,10988.456721,420.637782,11203.616212,703.56608,3119.220872,365.947137,2.2217,1532.368863,887.785544,20.321066,310.576562,16828.53039,273.463,15425.7797,6667.129789,372.136616,8386.513295,703.56608,425.72161,352.882944,0.382261,37.277845,35.17856,5589.907315,4299.330524,1622.621724,2676.7088,1290.576791,12.891883,1.038887,424.04209,852.603931,4290.522962,2887.600491,2698.705208,48.501166,140.394117,1402.922471,0.17231,0.800552,1071.048928,0.003053,20.321066,310.576562,2024-09-01,2024,9
24674.538885,264.794,20598.504092,9389.27653,353.099456,10856.128106,457.29262,3353.948173,469.649075,2.272901,1342.931024,1226.108632,22.044754,290.941786,14669.332156,264.794,13358.207469,5108.559678,310.398581,7939.24921,457.29262,589.038067,455.905371,0.241819,30.621834,102.269043,5816.855185,4309.120711,1521.77609,2787.344621,1507.734474,13.344595,1.207936,369.385863,1123.796079,4188.351544,2931.175912,2758.940762,42.700875,129.534275,1257.175632,0.399109,0.823146,942.923327,0.04351,22.044754,290.941786,2024-10-01,2024,10
