year,NPGOverall,NPGPumped,NPGThermalTotal,NPGThermalCoal,NPGThermalFuel,NPGThermalGas,NPGNuclear,NPGRenewableTotal,NPGRenewableConventionalHydropower,NPGRenewableGeothermal,NPGRenewableSolar,NPGRenewableWind,NPGRenewableBiomass,NPGRenewableWaste,TPGOverall,TPGPumped,TPGThermalTotal,TPGThermalCoal,TPGThermalFuel,TPGThermalGas,TPGNuclear,TPGRenewableTotal,TPGRenewableConventionalHydropower,TPGRenewableGeothermal,TPGRenewableSolar,TPGRenewableWind,PPGOverall,PPGThermalTotal,PPGThermalCoal,PPGThermalGas,PPGRenewableTotal,PPGRenewableConventionalHydropower,PPGRenewableGeothermal,PPGRenewableSolar,PPGRenewableWind,SPGOverall,SPGThermalTotal,SPGThermalCoal,SPGThermalFuel,SPGThermalGas,SPGRenewableTotal,SPGRenewableConventionalHydropower,SPGRenewableGeothermal,SPGRenewableSolar,SPGRenewableWind,SPGRenewableBiomass,SPGRenewableWaste
2005,227512.25009,3838.51825,176160.77888,120044.189033,17200.78167,38915.808187,39972.008,7540.944946,4071.373596,0.0,0.96,91.300426,323.477933,3053.832991,147466.595023,3838.51825,99551.53093899999,65769.881649,10919.572807,22862.076483,39972.008,4104.537834,4027.543073,0.0,0.0,76.994761,37564.4264,37520.595877,21971.547503,15549.048374,43.830523,43.830523,0.0,0.0,0.0,42481.228649,39088.65206,32302.759867,6281.208863,504.68333,3392.576589,0.0,0.0,0.96,14.305665,323.477933,3053.832991
2006,235530.12552,3910.666721,184005.11259,124048.803464,19846.587052,40109.722067,39870.4978,7743.848403,4088.350767,0.0,1.457,276.074732,321.292219,3056.6736849999998,156172.64961,3910.666721,108189.145296,68793.988027,14465.002744,24930.154532,39870.4978,4202.339778,4028.148429,0.0,0.0,174.191349,37025.991072,36875.636987,22190.823454,14684.813533,150.354085,60.202338,0.0,0.0,90.151747,42331.484834,38940.330294,33063.991984,5381.584308,494.754002,3391.15454,0.0,0.0,1.457,11.731636,321.292219,3056.6736849999998
2007,243116.58396,3932.70126,190319.91077000002,128462.814518,16823.862699,45033.233559,40539.16,8324.811924,4417.549905,0.0,2.18,439.53450699999996,302.267458,3163.280054,161152.6489,3932.70126,112082.289265,70657.377679,12198.480954,29226.430634,40539.16,4598.49837,4322.035413,0.0,0.0,276.462957,37643.442498000004,37395.026035,22342.978814000002,15052.047221,248.416463,95.514492,0.0,0.0,152.901971,44320.492556,40842.595465,35462.458016,4625.381745,754.755704,3477.897091,0.0,0.0,2.18,10.169579,302.267458,3163.280054
2008,238305.36528,3467.1645,185752.28166,122201.790852,15038.686694,48511.804121,40826.859599999996,8259.059513,4305.105175,0.0,4.473143,588.265167,272.488611,3088.727417,162044.70447,3467.1645,113317.123965,69218.3003,11446.325787,32652.497874,40826.859599999996,4433.556408,4160.770365,0.0,0.096286,272.689757,36930.987497,36480.256784,21361.037957,15119.218827,450.730713,144.33481,0.0,0.0,306.395903,39329.673308,35954.900916,31622.452589,3592.360907,740.0874200000001,3374.772392,0.0,0.0,4.376857,9.179507000000001,272.488611,3088.727417
2009,230037.1593,3305.104383,177351.40105,120667.963644,9402.803989,47280.633434999996,41571.1288,7809.525073000001,3748.28819,0.0,9.112535,786.635449,229.349499,3036.1394,150129.584699,3305.104383,101280.104662,64304.685246,6126.430248,30848.989163,41571.1288,3973.246853,3601.469201,0.0,0.098128,371.679524,40172.427933,39618.930041,23906.526181999998,15712.403859,553.497892,146.818989,0.0,0.0,406.678903,39735.146676000004,36452.366348,32456.752194,3276.373741,719.240413,3282.780328,0.0,0.0,9.014407,8.277022,229.349499,3036.1394
2010,247058.86694,3060.998999,193729.42080999998,122352.724314,11130.827756,60245.868749,41628.6891,8639.75803,4194.1013060000005,0.0,21.727004,1026.337795,270.037639,3127.554286,165008.72796,3060.998999,115726.624648,64902.220657,8254.656848,42569.747136,41628.6891,4592.415205,4073.351615,0.0,3.860211,515.203379,41422.661976,40801.075196,24070.030627,16731.044569,621.58678,120.749691,0.0,0.0,500.837089,40627.477023,37201.720978,33380.473026,2876.170908,945.077044,3425.756045,0.0,0.0,17.866793,10.297327,270.037639,3127.554286
2011,252167.01421,2902.108,198161.35441,124467.954227,9487.809297,64205.590882,42116.4908,8987.061008,3999.726499,0.0,61.622537,1492.676671,236.091082,3196.944219,170066.87482,2902.108,120353.48123599999,67896.792575,7307.676672,45149.011983000004,42116.4908,4694.794786,3883.184434,0.0,8.643787,802.966565,42280.370382,41480.573862,23225.540483,18255.033379,799.79652,116.54206500000001,0.0,0.0,683.254455,39819.769008,36327.299306,33345.621161,2180.132625,801.54552,3492.469702,0.0,0.0,52.97875,6.455651,236.091082,3196.944219
2012,250373.4248,2936.9005,196352.69702,122437.38281000001,7623.249642,66292.064552,40421.7298,10662.097475,5669.557962,0.0,159.869831,1413.468482,241.45989500000002,3177.741305,172749.57338,2936.9005,123128.864101,67500.061161,5659.842872,49968.960075999996,40421.7298,6262.078962,5512.326012,0.0,13.207962,736.544988,40059.547978,39233.982837,23680.67685,15553.305987,825.565141,157.23194999999998,0.0,0.0,668.3331909999999,37564.303436,33989.850064,31256.644805,1963.40677,769.798489,3574.453372,0.0,0.0,146.661869,8.590303,241.45989500000002,3177.741305
2013,252340.81448,3187.087,196659.14095,121451.998298,6818.142008,68389.000639,41639.36,10855.226549,5422.889721,0.0,321.096236,1640.007611,225.561332,3245.671649,171278.22423,3187.087,120414.143656,63813.0316,5275.254669,51325.857382999995,41639.36,6037.633572,5272.801374,0.0,16.75795,748.074248,40531.541412,39491.842188,23077.629436,16414.212752,1039.699224,150.088347,0.0,5.815811,883.7950659999999,40531.048839,36753.155086,34561.337243,1542.8873389999999,648.930504,3777.8937530000003,0.0,0.0,298.522475,8.138297,225.561332,3245.671649
2014,259963.93542,3121.17,204531.40821999998,123447.382534,8013.870948,73070.154736,42388.975,9922.382214,4317.861918,0.0,528.762129,1500.484383,249.783469,3325.490315,176094.86721,3121.17,125672.14475400001,64167.106,6603.513718,54901.525043,42388.975,4912.577449,4183.094093,0.0,22.947054,706.536302,41626.407092,40684.862583,23107.24916,17577.613423,941.5445090000001,134.767825,0.0,19.851495,786.925189,42242.661117999996,38174.400862,36173.027362,1410.35723,591.01627,4068.260256,0.0,0.0,485.96358,7.022892,249.783469,3325.490315
2015,258141.88767,3034.955741,208159.76653,117161.58379599999,11989.157681,79009.025061,36471.1206,10476.044804,4470.146125,0.0,850.267948,1525.235707,246.202946,3384.192078,175674.42546,3034.955741,131068.098201,60084.901607,10687.787556,60295.409024,36471.1206,5100.250922,4358.533735,0.0,25.248007,716.46918,42322.533122,41381.872923,23126.537168,18255.335755,940.660199,111.61239,0.0,29.824561,799.223248,40144.929102,35709.795419,33950.145012,1301.370125,458.280282,4435.133683,0.0,0.0,795.19538,9.543279,246.202946,3384.192078
2016,264107.65696,3293.665,216422.50939,121227.60715,11891.291506,83303.610745,31661.3626,12730.119964,6562.040858,0.0,1109.00465,1457.101846,205.42084499999999,3396.551765,181164.27648,3293.665,139144.416941,65259.731603,10447.924348,63436.760968,31661.3626,7064.83194,6395.868458,0.0,23.225684,645.737798,43407.345439,42401.396571,22921.927133,19479.469438,1005.9488680000001,166.1724,0.0,35.969501,803.806967,39536.035063999996,34876.695908,33045.948411,1443.367158,387.38033900000005,4659.339156,0.0,0.0,1049.809465,7.557081,205.42084499999999,3396.551765
2017,270256.40665,3333.677,232111.77397,127953.327759,12716.751925,91441.694276,22445.5308,12365.424848,5446.814787,0.0,1667.452949,1722.458624,187.697798,3341.00069,187715.59696,3333.677,155864.05066,73239.133653,11595.330882,71029.586125,22445.5308,6072.338503,5302.422095,0.0,24.142739,745.773669,43695.369054,42512.977356,22580.785856000002,19932.1915,1182.391698,144.392692,0.0,69.769411,968.229595,38845.440601,33734.745954,32133.40826,1121.421043,479.916651,5110.694647,0.0,0.0,1573.540799,8.45536,187.697798,3341.00069
